№,Округ,Знак зодиака,Любимый цвет,Есть работа,Время подъема,Продолжительность сна,К/Ч
1,МО,Весы,Красный,0,7,8,0
2,СВАО,Близнецы,Синий,0,8,8,0
3,СВАО,Весы,Салатовый,0,10,8,0
5,ВАО,Весы,Синий,1,8,8,0
6,ВАО,Стрелец,Черный,1,8,6.5,1
7,МО,Рыбы,Синий,0,8,7,0
8,СЗАО,Овен,Белый,1,12,7,1
10,САО,Близнецы,Зеленый,0,8,8,0
11,МО,Козерог,Зеленый,0,8,7,0
13,ЮЗАО,Телец,Голубой,1,7,6,1
14,ЗАО,Стрелец,Индиго,0,10,7,0
15,ЮЗАО,Близнецы,Черный,1,14,6,1
16,ЮВАО,Стрелец,Черный,1,6,7,1
17,ЮЗАО,Овен,Зеленый,1,8.5,7,0
20,ВАО,Телец,Черный,1,8.5,7,0
22,ЮЗАО,Водолей,Оранжевый,0,11,8,0
23,МО,Дева,Черный,0,14,10,0
24,ЮВАО,Козерог,Зеленый,0,9,8,1
25,ЮВАО,Весы,Фиолетовый,1,7,8,1
26,ЮЗАО,Овен,Зеленый,1,7.5,6,0
27,САО,Близнец,Розовый,1,8,4,0
28,МО,Лев,Красный,1,9,8,1
