№,Округ,Знак зодиака,Любимый цвет,Есть работа,Время подъема,Продолжительность сна,К/Ч
1,МО,Весы,Красный,0,7,8,Ч
2,СВАО,Близнецы,Синий,0,8,8,Ч
3,СВАО,Весы,Салатовый,0,10,8,Ч
5,ВАО,Весы,Синий,1,8,8,Ч
6,ВАО,Стрелец,Черный,1,8,6.5,К
7,МО,Рыбы,Синий,0,8,7,Ч
8,СЗАО,Овен,Белый,1,12,7,К
10,САО,Близнецы,Зеленый,0,8,8,Ч
11,МО,Козерог,Зеленый,0,8,7,Ч
13,ЮЗАО,Телец,Голубой,1,7,6,К
14,ЗАО,Стрелец,Индиго,0,10,7,Ч
15,ЮЗАО,Близнецы,Черный,1,14,6,К
16,ЮВАО,Стрелец,Черный,1,6,7,К
17,ЮЗАО,Овен,Зеленый,1,8.5,7,Ч
2Ч,ВАО,Телец,Черный,1,8.5,7,0
22,ЮЗАО,Водолей,Оранжевый,0,11,8,Ч
23,МО,Дева,Черный,0,14,10,Ч
24,ЮВАО,Козерог,Зеленый,0,9,8,К
25,ЮВАО,Весы,Фиолетовый,1,7,8,К
26,ЮЗАО,Овен,Зеленый,1,7.5,6,Ч
27,САО,Близнец,Розовый,1,8,4,Ч
28,МО,Лев,Красный,1,9,8,К
